NPRODUCTO,CONCURSO,F1,F2,F3,F4,F5,F6,BOLSA,FECHA
34,2738,4,13,22,29,32,40,"$12,500,000.00 ",2/3/14
34,2737,11,34,43,52,54,55,"$12,000,000.00 ",26/02/2014
34,2736,11,29,32,43,51,52,"$11,500,000.00 ",23/02/2014
34,2735,6,12,41,46,52,56,"$11,000,000.00 ",19/02/2014
34,2734,6,8,9,13,29,48,"$10,500,000.00 ",16/02/2014
34,2733,3,15,16,22,30,34,"$10,000,000.00 ",12/2/14
34,2732,11,13,31,39,45,53,"$96,000,000.00 ",9/2/14
34,2731,10,34,39,42,44,54,"$94,000,000.00 ",5/2/14
34,2730,12,13,31,34,47,50,"$92,000,000.00 ",2/2/14
34,2729,8,19,34,39,41,54,"$90,500,000.00 ",29/01/2014
34,2728,11,15,20,24,47,48,"$89,000,000.00 ",26/01/2014
34,2727,16,29,38,40,48,49,"$87,000,000.00 ",22/01/2014
34,2726,3,5,19,28,33,56,"$85,000,000.00 ",19/01/2014
34,2725,12,19,22,30,39,56,"$83,500,000.00 ",15/01/2014
34,2724,6,7,12,22,31,45,"$81,500,000.00 ",12/1/14
34,2723,11,14,21,27,47,54,"$79,500,000.00 ",8/1/14
34,2722,5,14,19,46,54,55,"$78,000,000.00 ",5/1/14
34,2721,2,10,24,31,35,49,"$76,000,000.00 ",1/1/14
34,2720,3,7,8,17,21,48,"$74,000,000.00 ",29/12/2013
34,2719,2,7,31,40,53,56,"$72,500,000.00 ",25/12/2013
34,2718,24,25,30,35,55,56,"$71,000,000.00 ",22/12/2013
34,2717,7,19,29,34,41,47,"$69,000,000.00 ",18/12/2013
34,2716,2,18,25,41,42,51,"$67,500,000.00 ",15/12/2013
34,2715,3,7,30,40,48,54,"$66,000,000.00 ",11/12/13
34,2714,28,31,40,49,53,54,"$64,000,000.00 ",8/12/13
34,2713,11,14,39,41,47,52,"$62,000,000.00 ",4/12/13
34,2712,8,17,34,37,42,43,"$60,500,000.00 ",1/12/13
34,2711,15,30,34,35,38,51,"$59,000,000.00 ",27/11/2013
34,2710,10,13,18,26,28,37,"$57,000,000.00 ",24/11/2013
34,2709,5,7,20,40,42,48,"$56,000,000.00 ",20/11/2013
34,2708,7,22,38,42,44,54,"$54,000,000.00 ",17/11/2013
34,2707,3,7,19,21,25,47,"$53,000,000.00 ",13/11/2013
34,2706,1,8,26,33,54,55,"$51,000,000.00 ",10/11/13
34,2705,5,6,18,41,54,56,"$49,000,000.00 ",6/11/13
34,2704,20,27,31,42,53,54,"$47,000,000.00 ",3/11/13
34,2703,11,15,17,20,22,54,"$46,000,000.00 ",30/10/2013
34,2702,18,22,23,26,42,49,"$44,500,000.00 ",27/10/2013
34,2701,11,15,19,27,36,38,"$43,000,000.00 ",23/10/2013
34,2700,12,15,27,44,46,48,"$41,500,000.00 ",20/10/2013
34,2699,23,25,32,43,49,55,"$40,000,000.00 ",16/10/2013
34,2698,14,21,26,30,35,39,"$38,000,000.00 ",13/10/2013
34,2697,6,9,23,36,45,49,"$37,000,000.00 ",9/10/13
34,2696,12,18,20,23,25,44,"$35,000,000.00 ",6/10/13
